text,label
ช่วยด้วย เลือดไหลไม่หยุด,2
รถชนกัน มีคนเจ็บหนัก,2
โจรขึ้นบ้าน ช่วยด้วย,2
ไฟไหม้ลามทุ่งแล้ว,2
หายใจไม่ออก แน่นหน้าอก,2
ยางแตก ขับต่อไม่ได้,1
ลืมกุญแจห้อง เข้าไม่ได้,1
ท่อประปาแตก น้ำท่วมห้อง,1
รถสตาร์ทไม่ติด,1
หลงทาง กลับบ้านไม่ถูก,1
หิวข้าว อยากกินกะเพรา,0
เหงาจัง หาเพื่อนคุย,0
ตามหาแมวหาย,0
แนะนำร้านกาแฟหน่อย,0
วันนี้อากาศดีจัง,0
text,label
ไฟไหม้อาคาร เราติดอยู่ข้างใน,2
มีคนหมดสติหายใจไม่ออก,2
เห็นคนกำลังจะกระโดดสะพาน,2
รถล้มแขนหักช่วยเรียกรถพยาบาลที,1
มีควันออกจากเครื่องยนต์รถ ไม่แน่ใจว่าเป็นอะไร,1
มีเสียงทะเลาะกันดังมากหน้าบ้าน,1
หมาหาย อยากขอให้ช่วยประกาศตามหา,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
วันนี้รถติดมาก,0
ถามหน่อยครับ ร้านปิดกี่โมง,0
text,label
วันนี้รถติดมาก,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
อยากรู้สภาพอากาศวันนี้,0
ช่วยแนะนำที่เที่ยวหน่อย,0
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
ถูกทำร้ายร่างกาย ขอความช่วยเหลือด่วน,2
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
วันนี้รถติดมาก,0
พบคนเดินหลงทาง,1
อยากรู้สภาพอากาศวันนี้,0
สอบถามเรื่องการจัดส่งสินค้า,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
อยากรู้สภาพอากาศวันนี้,0
ช่วยแนะนำที่เที่ยวหน่อย,0
มีคนทะเลาะกันเสียงดังมาก,1
มีคนหมดสติไม่หายใจ,2
อยากรู้สภาพอากาศวันนี้,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
เด็กจมน้ำ รีบช่วยที,2
ไฟดับทั้งหมู่บ้าน,1
พบคนเดินหลงทาง,1
สอบถามเรื่องการจัดส่งสินค้า,0
ร้านเปิดกี่โมงครับ,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
มีคนกำลังจะกระโดดจากตึก,2
ไฟดับทั้งหมู่บ้าน,1
เลือดไหลไม่หยุด ช่วยด้วย,2
ช่วยแนะนำที่เที่ยวหน่อย,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ช่วยแนะนำที่เที่ยวหน่อย,0
ร้านเปิดกี่โมงครับ,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
ได้ยินเสียงปืนแถวบ้าน,2
ไฟดับทั้งหมู่บ้าน,1
ได้ยินเสียงร้องขอความช่วยเหลือเบาๆ,1
อยากรู้สภาพอากาศวันนี้,0
ควันออกจากรถ ไม่แน่ใจว่าเป็นอะไร,1
ไฟดับทั้งหมู่บ้าน,1
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ไฟดับทั้งหมู่บ้าน,1
สอบถามเรื่องการจัดส่งสินค้า,0
หมาหาย ช่วยตามหาให้หน่อย,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ร้านเปิดกี่โมงครับ,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
สอบถามเรื่องการจัดส่งสินค้า,0
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
สอบถามเรื่องการจัดส่งสินค้า,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
อยากรู้สภาพอากาศวันนี้,0
สอบถามเรื่องการจัดส่งสินค้า,0
ไฟดับทั้งหมู่บ้าน,1
